,author,sentence,pet,pos_tag,is_euph,replacement,category
14,bs,"if she winds up as her party's default nominee if biden pulls out late, democrats will have every reason to panic",late,RB,no,,
38,bs,""" some readers may be inclined to dismiss this as merely an indictment of a troubled son",troubled,JJ,yes,,
82,bs,"because of the delta variant's vigorous attack on even the relatively small number of unvaccinated vermonters, the state has experienced one of the biggest recent covid surges, with hospitalizations up by 24 percent in the past two weeks",experienced,VBN,no,,
128,bs,"the florida governor did, in fact, do well in the early months of the crisis, when he focused state resources on protecting the elderly, only to later preside over a gigantic spike in cases",elderly,JJ,yes,,
186,bs,""" of these, nearly two-thirds come from economically disadvantaged backgrounds, and many don't speak english at home",disadvantaged,VBN,yes,,
202,bs,it shouldn't be too late to reclaim these understandings again,late,JJ,no,,
219,bs,"in san francisco and los angeles, to homeless encampments and addicts",addicts,NNS,yes,,
222,bs,"like an addict who can't endure the agony of withdrawal, we could soon arrive at a moment when we will not be able to accept the price of taming inflation, and instead we'll be tempted to inflate our way out of our debts",addict,NN,yes,,
310,bs,"in the brooklyn neighborhood of east new york last month, wayne washington, 25, was killed after being shot multiple times in the chest, and a 19-year-old woman sustained a bullet injury in her torso",chest,NN,no,,
335,bs,"local shops are closing, neighborhoods are decaying, encampments of drug addicts have proliferated, and streets are befouled by human excrement -- a set of failures michael shellenberger calls in his thoroughly researched and convincing new book, ""san fransicko: why progressives ruin cities,"" ""the breakdown of civilization on america's west coast",addicts,NNS,yes,,
413,bs,"a typical example: the american medical association recently published its ""guide to language, narrative and concepts,"" which includes such recommendations as replacing the term ""disadvantaged"" with ""historically and intentionally excluded,"" ""social problem"" with ""social injustice,"" ""vulnerable"" with ""oppressed,"" and ""blacklist"" and ""blackmail"" with words that don't suggest an association between the word ""black"" and ""suspicion or disapproval",disadvantaged,VBN,yes,,
478,bs,"if you haven't followed the drip-drip-drip of revelations, late in 2019 michael e",late,RB,no,,
508,bs,"a world in which several combustible regions each have multiple nuclear powers in varying configurations of alliance and hostility is a recipe for miscalculation, accident and tragedy",accident,NN,yes,,
516,bs,"in july, the president dismissed price increases as ""expected, and expected to be temporary",dismissed,VBD,no,,
555,bs,"what he doesn't mention is that his admiration for the unflinching high-mindedness of a heschel or an aquinas somehow didn't stop him from becoming a late but enthusiastic convert to the cult of donald trump -- that is, of the hedonistic bully",late,JJ,no,,
582,cb,"he appealed on the grounds that the indictment was invalid: the jury had been drawn from a pool of registered voters, which, because the state constitution had disenfranchised most black voters by the time of his trial, was almost entirely white, and williams argued that this was a violation of his 14th amendment rights",invalid,JJ,no,,
701,cb,") in the late 1800s, opponents of progress had exercised a methodical, decades-long campaign to subjugate and oppress black people",late,JJ,no,,
768,cb,"i had not gone to fancy prep schools or ivy league colleges, but a small high school that had served black students since the late 1800s and to a historically black college, grambling state university, the closest university to my hometown",late,JJ,no,,
830,cb,"it doesn't matter whether or not the person that is accosting your son or daughter or my son or daughter -- my wife, your husband, my mother, your parents -- it doesn't matter whether or not they were deprived as a youth",deprived,VBN,yes,,
857,cb,"the question now is whether, at the 11th hour, his foray into the battle will prove to be too little too late",late,JJ,no,,
1095,cb,""" it was already too late for the president to have the influence on the debate that the office of the presidency affords",late,JJ,no,,
1159,cb,"but even if they succeed in passing both the infrastructure framework and the social spending bill, those investments may come too late to discharge growing dissatisfaction",late,JJ,no,,
1182,cb,"the son who was so upset by it, blake murphy, is now a lawyer in his late 20s who works for the national republican congressional committee",late,JJ,no,,
1335,cb,"but i never said the thing i thought i couldn't say: that parenthood was too much for me to do on my own, that it was consuming me, that i sometimes felt trapped in it, that it sometimes felt as if someone were sitting on my chest and i couldn't breathe",chest,NN,no,,
1348,cb,"when people saw me, when they experienced me, they may well have seen a free spirit, even a reckless one",experienced,VBD,no,,
1394,cb,""" maybe some people who feel privately broken as i did will read this, and they will realize that they are not alone and that it is not too late to change",late,JJ,no,,
1441,cb,"i settled on a purpose while writing the book: i had suffered -- from childhood sexual abuse and the questioning and shame in its wake -- because i hadn't had the language, skills and courage to better navigate what i had experienced",experienced,VBN,no,,
1450,cb,""" that is the future mark zuckerberg's troubled facebook is aiming toward as it renames itself meta",troubled,JJ,yes,,
1494,cb,i must say that i feel like an addict finally getting clean,addict,NN,yes,,
1576,cb,"i believe that i experienced the pandemic like many others: stunned and isolated, shocked by the sudden withdrawal of social life and social customs",experienced,VBD,no,,
1639,cb,"this week, one defense lawyer tried to get the civil rights icon jesse jackson kicked out of the courtroom, saying: the defense even called for a mistrial because of the presence of these preachers, but the judge dismissed the motion and called the defense's comments about black preachers ""reprehensible",dismissed,VBD,no,,
1697,cb,"he denied, diminished and dismissed them",dismissed,VBD,no,,
1768,cb,"as politico noted, he was far more outspoken as vice president, giving at least twice the number of interviews by his first october in office as he has while president, sometimes even visiting all three network morning shows in a single day",outspoken,JJ,,,
1814,db,for most of my life i've considered myself pro-choice because i didn't have any confidence that i knew when life began and didn't want to impose my views on others,pro-choice,JJ,,,
1849,db,"people are living longer, staying healthier longer and accomplishing things late in life that once seemed possible only at younger ages",late,RB,,,
1862,db,"classified as disabled dropped by a third between 1982 and 2005, while the share who were institutionalized fell nearly in half",disabled,JJ,,,
1906,db,"as a whole, americans seem to be aging more slowly than before",aging,VBG,yes,,
1931,db,"but while these improvements have made it more likely that people will live to be 65, after that, aging itself takes an inexorable toll",aging,VBG,yes,,
1947,db,"we may also need to address the underlying condition of aging itself, which is, after all, the primary risk factor for late-life decline",aging,VBG,yes,,
1982,db,"jay olshansky, a professor of epidemiology and biostatistics at the university of illinois chicago, has helped define aging as ""the accumulation of random damage to the building blocks of life -- especially to dna, certain proteins, carbohydrates and lipids (fats) -- that begins early in life and eventually exceeds the body's self-repair capabilities",aging,VBG,yes,,
2035,db,""" the question becomes, can we intervene to slow the aging process",aging,NN,yes,,
2059,db,"this week olshansky emailed me: ""while there are no documented interventions that have been proven safe and effective in slowing aging in humans today, we are on the verge of a breakthrough",aging,VBG,yes,,
2089,db,""" he describes a series of experimental interventions designed to slow biological processes that are part of aging",aging,VBG,yes,,
2116,db,"for example, as we age, we build up more and more ""senescent"" cells, which secrete inflammatory molecules that can effectively accelerate aging",aging,VBG,yes,,
2119,db,"""treating aging sounds like science fiction until you've heard about the latest developments in aging biology,"" steele writes",aging,VBG,yes,,
2133,db,"""treating aging sounds like science fiction until you've heard about the latest developments in aging biology,"" steele writes",aging,VBG,yes,,
2157,db,"he adds, ""the crucial moment comes if we can start developing and rolling out treatments for aging that mean life expectancy rises by one year per year",aging,VBG,yes,,
2173,db,""" an era of slow aging could present some real challenges",aging,NN,yes,,
2188,db,some people's self-image reflects the scorn they've experienced -- because it's very hard not to be affected by what people say about you,experienced,VBN,,,
2214,db,"when ""love me do"" was released in late 1962 with little support and low expectations from their label, a different kind of champion -- fans back in liverpool -- helped build up a wave of support for the song",late,JJ,no,,
2274,db,"the senate passed a covid relief measure 96 to 1 in early march 2020, another 90 to 8 in mid-march, another 96 to 0 in late march and another 92 to 6 in december",late,JJ,no,,
2307,db,""" when the senate advanced the roughly $1 trillion measure by a vote of 67 to 32, that was a sign that experienced politicians can, as biden suggested, make the system work",experienced,VBD,,,
2346,db,"at the end of every year, i pause from the rush of events to offer the sidney awards, which i created in honor of the late, great philosopher sidney hook",late,JJ,,,
2355,db,"we become attention addicts, in, as hayes puts it, ""pursuit through fame of a thing that fame cannot provide""-- genuine human connection",addicts,NNS,,,
2402,db,"west germany and japan endured widespread devastation during world war ii, yet in the years after the war both countries experienced miraculous economic growth",experienced,VBD,,,
2412,db,"for over a year, many experienced daily routines that were slower paced, more rooted, more domestic",experienced,VBD,,,
2426,db,"in late april, tom gimbel, who runs the recruiting and staffing firm lasalle network, told the times: ""it's the best job market i've seen in 25 years",late,JJ,,,
2544,db,"at least 27 percent of americans are estranged from a member of their own family, and research suggests about 40 percent of americans have experienced estrangement at some point",experienced,VBN,,,
2689,db,"""i think it's because when you've been deprived of dignity you put a high, high premium on it",deprived,VBN,,,
2704,db,"s back as late as the 70s were making 35, 40 times as much as the average employee",late,RB,,,
2744,db,"in my own seasons of suffering, i've been shocked at how emotional pain feels like searing physical pain in the stomach and chest, by how tempting it is to self-isolate and rob yourself of the very human contact you need most",chest,NN,,,
2788,db,"in ""man's search for meaning,"" frankl wrote that he would try to help them recognize that ""life was still expecting something from them; something in the future was expected of them",expecting,VBG,,,
2808,db,"one focuses on concrete benefits for the disadvantaged -- reparations, more diverse hiring, more equitable housing and economic policies",disadvantaged,NN,,,
2832,fb,"if anything, that grief has grown more intense of late",late,JJ,,,
2867,fb,"it was on garish display during a house hearing just over a week ago, when representative jim jordan, doing a fan dance for fox news, tore into fauci as a doomsday addict less intent on saving people's lives than on scrapping people's liberties",addict,NN,,,
2885,fb,and mcdonald's is late to the game,late,JJ,,,
2904,fb,"""road accident, broken bones, reconstructive surgeries, can no longer fully feel a kiss",accident,NN,,,
2928,fb,that's not because i'm sloppy or run late,late,RB,,,
2933,fb,"i approached him in late 2014 as i worked on a book about americans' obsession with admission to elite colleges like princeton, where, as it happened, i'd been a visiting professor that spring",late,JJ,,,
2972,fb,"""or is that too late",late,JJ,,,
2986,fb,"and the much-discussed ""trump bump"" that cable news channels and newspapers experienced in and right after 2016 faded over time",experienced,VBN,,,
3004,fb,"frank bruni will stop writing regular opinion columns in late june, but his popular weekly newsletter will live on",late,JJ,,,
3026,fb,a mar-a-lago member who recently attended a club gathering for a deceased friend was surprised when trump sauntered in to deliver remarks and then hung around,deceased,JJ,,,
3054,fb,""" i'm sure ""low energy"" jeb, as trump mockingly dismissed him, is suffused with paternal pride",dismissed,VBD,,,
3080,fb,"we notice that we're received best for certain perspectives; maybe television bookers put us on camera expecting particular bromides and broadsides; possibly we get paid for speaking engagements that are premised, at least tacitly, on our delivery of the same fare we've served before",expecting,VBG,,,
3137,fb,"i know i did when i wrote, in august 2019, about the tenacity of hate and i asserted that americans who still opposed same-sex marriage ""cannot bear the likes of me"" and other gay people",same-sex,JJ,,,
3157,fb,too many columns are less sober analyses than snarky stand-up acts or primal screams,sober,JJ,,,
3169,fb,what he'd experienced and observed in his life to that point convinced him that the odds were stacked against him and that he was in danger,experienced,VBN,,,
3208,fb,"three witnesses actually did call the police on the police, but it was too late",late,JJ,,,
3214,fb,"""pro-life"" and ""pro-choice"" are ideologically stacked labels, with currency for that reason",pro-choice,JJ,,,
3232,fb,"""gay marriage"" and ""same-sex marriage"" morphed into ""marriage equality"" among many of its supporters, who wanted to make clear that they weren't proposing some special or separate right but addressing an injustice",same-sex,JJ,,,
3285,fb,or if a new democratic majority is a slim one made possible by purple-state lawmakers wary of aggressive legislation,slim,JJ,,,
3318,fb,"he cedes the frame and the moment entirely to americans themselves -- to black americans, white americans, native americans, disabled americans, young americans, old americans -- and to the landscapes in the lyrics of the song",disabled,JJ,,,
3375,fb,"the new humility means that he and his aides aren't trying to monopolize the headlines by turbocharging chatter about who might get which cabinet positions but instead sending signals that this is a process, and a sober one at that",sober,JJ,,,
3475,fb,"frank bruni will stop writing regular opinion columns in late june, but his popular weekly newsletter will live on",late,JJ,,,
3522,fb,"""he's, like, 6-2, which is why i don't understand why his hands are the size of someone who's 5-2,"" rubio told voters at a campaign rally in late february that year",late,JJ,,,
3532,fb,"on fox news recently, he dismissed trump's upcoming senate trial as ""stupid,"" seemingly daring hawley, cruz and cotton to top his disdain and his adjective",dismissed,VBD,,,
3566,fb,"michael tomasky wrote an excellent column in the times late last year about the way in which republicans, who have long branded themselves the party of ""freedom,"" now use the word and its variants in selective, wrongheaded and destructive ways that wind up endorsing recklessness more than liberty",late,RB,,,
3629,fb,"i can see how -- in another, saner country at another, saner time -- they might be dismissed as the gratuitous props of a party staging political theater, which is what republicans accuse democrats of doing",dismissed,VBN,,,
3697,fb,"the best response that i read to that was, as it happens, in the times, by my colleague talmon joseph smith, who didn't wring his hands and beat his chest and overwork his thesaurus for synonyms for ""shameful,"" ""abomination"" and such",chest,NN,,,
3721,fb,#NAME?,same-sex,JJ,,,
3733,fb,"not by accident, they made an uncharacteristically prominent appearance in donald trump's first big speech after his exile from the white house, when he and other disappointed republicans were regrouping and trying to figure out the path forward",accident,NN,,,
3803,fb,"""joe biden and the democrats are even pushing policies that would destroy women's sports,"" he told an audience at the conservative political action conference in florida in late february",late,JJ,,,
3858,fb,"in the times late last week, lisa friedman described such efforts within the environmental protection agency",late,JJ,,,
3878,fb,"but i keep thinking about the late 1990s, bill clinton, that whole melodrama and how republicans used it in the service of a particular identity for their party",late,JJ,,,
3903,fb,"they experienced us as arrogant, but also as special",experienced,VBD,,,
3915,fb,it's no accident that he never beckoned donald trump to campaign with him,accident,NN,,,
4034,fb,"frank bruni will stop writing regular opinion columns in late june, but his popular weekly newsletter will live on",late,JJ,,,
4046,fb,"i experienced them as thrilling vacations from my parents, whose love was necessarily mingled with judgment",experienced,VBD,,,
4107,fm,"for instance, see how keating's headline on the death of supreme court justice antonin scalia -- ""death of hard-line jurist throws regime into chaos"" -- neatly underlined the quaint capriciousness of a political system in which one unelected judge's sudden demise can call into question fundamental rights across the land",demise,NN,,,
4161,fm,"although the trial came to a conclusion on monday, its true climax was late last week, when gonzalez rogers -- who is not expected to render her verdict for months, peppered cook with a series of pointed queries about apple's golden-goose business model",late,JJ,,,
4220,fm,"on the campaign trail, joe biden declined to ""demonize"" the wealthy and told rich donors that ""nothing would fundamentally change"" for their standard of living -- a promise he has kept",wealthy,NN,,,
4253,fm,"the biden white house has proposed tax increases on the wealthy, but the president has remained far from a tax on accumulated wealth or other efforts to snip the wings of the extremely wealthy",wealthy,NN,,,
4277,fm,"the biden white house has proposed tax increases on the wealthy, but the president has remained far from a tax on accumulated wealth or other efforts to snip the wings of the extremely wealthy",wealthy,JJ,,,
4288,fm,because that's how i've come to think of late summer and fall here nowadays,late,JJ,,,
4320,fm,"in the san francisco bay area, where i live, the air has so far remained short of noxious, but nobody i know is expecting it to remain that way",expecting,VBG,,,
4341,fm,"it can be hard to know you're in a drought until it's too late to do much about it; then, when the rains come back, it can be just as difficult to believe the water will ever run out again, so why worry about the next dry spell",late,JJ,,,
4386,fm,"between 2012 and 2016, california experienced the most severe drought in a millennium",experienced,VBD,,,
4470,fm,"elder has denied datig's claim and rejected his opponents' counsel; late last week, he shook up his campaign staff",late,RB,,,
4517,fm,"republicans in the senate had balked at the climate plan, especially its effort to raise taxes on the wealthy to pay for many of its investments",wealthy,JJ,,,
4525,fm,late last week president biden achieved something i'd thought impossible: he got me to feel bad for mark zuckerberg,late,RB,,,
4559,fm,"as was evident in the country's bloodless handover from racist rule, troubled as it has been, there was a fundamental social stability undergirding south african society that i believed would hold",troubled,VBD,,,
4593,fm,"thanks to mass vaccination, it's beginning to feel like morning in wealthy parts of the world, notwithstanding the social and political dislocations the virus has created in the united states",wealthy,JJ,,,
4624,fm,"if the billions of people in the world's middle- and low-income countries continue to feel hopelessly locked out of any chance at liberation from the virus, what will happen as the world is transformed by climate change",low-income,JJ,,,
4666,fm,"but as ahmed pointed out, in the case of covid-19, what the wealthy world owes the developing world is not any kind of mystery",wealthy,JJ,,,
4697,fm,"recently i've been hooked on facebook's oculus quest 2, the light, portable virtual-reality headset released late last year",late,RB,,,
4703,fm,it is no accident that facebook has been telling lawmakers that it welcomes reforms to section 230 -- while smaller sites like etsy and tripadvisor are nervous about the possibility,accident,NN,,,
4732,fm,"and in late 1961, when doctors in europe began to link the drug to a wave of birth deformities, kelsey's diligence was validated",late,JJ,,,
4765,fm,"), the ""sexting"" scare of the late 2000s, and the widely exaggerated fear, in the 1990s, that urban gangs posed a terrible threat to public safety",late,JJ,,,
4793,fm,rittenhouse shot huber in the chest,chest,NN,,,
4846,fm,"but mine is a troubled love, a guilty love, a love whose implications confuse and alarm me",troubled,JJ,,,
4899,fm,"the internet didn't start the fire, but it's undeniable that it has fostered a sour and fragmented global polity -- an atmosphere of pervasive mistrust, corroding institutions and a collective retreat into the comforting bosom of confirmation bias",bosom,NN,,,
4903,fm,"late last month, the census bureau released the first results from its 2020 count, and the numbers confirmed what demographers have been warning of for years: the united states is undergoing ""demographic stagnation,"" transitioning from a relatively fast-growing country of young people to a slow-growing, older nation",late,RB,,,
4968,fm,"the nation will cross the 400-million population mark sometime in the late 2050s, but by then we'll be quite long in the tooth -- about half of americans will be over 45, and one fifth will be older than 85",late,JJ,,,
5025,fm,"for instance, experts predict a major shortage of health care workers, especially home care workers, who will be needed to help the aging nation",aging,VBG,,,
5064,fm,i also believe that the united states' founding idea of universal equality will never be fully realized until we recognize that people outside our borders are as worthy of our ideals as those here through an accident of birth,accident,NN,,,
5101,fm,""" weeks, the author of ""the problem with work,"" is among a handful of scholars who have been pushing for a wholesale reappraisal of the role that work plays in wealthy societies",wealthy,JJ,,,
5138,fm,"in the united states, the biden administration's huge social policy legislation -- now stalled in congress -- was also conceived in part as a way to address the kind of problems working people experienced during the pandemic",experienced,VBD,,,
5147,gc,"mild, like a mellow aging uncle who might own a very nippy german shepherd",aging,VBG,,,
5199,gc,"besides fixing up 20,000 miles of roads, he wants to do everything from electrifying the yellow school bus fleets to getting rid of lead pipes that taint the water supply to a $400 billion commitment to helping the elderly and disabled",disabled,VBD,,,
5209,gc,"in the end, that infrastructure week was a bust for highways and trains and such",bust,NN,,,
5223,gc,"""young and middle-aged and even some elderly",elderly,JJ,,,
5229,gc,"of course, some are elderly fans who were standing in line waiting for it",elderly,JJ,,,
5254,gc,just because an employee doesn't slap you when you run your hand over her chest doesn't mean she enjoyed it,chest,NN,,,
5276,gc,"but six of the victims were of asian descent, and the country's been troubled lately by violence against asian-americans",troubled,VBN,,,
5298,gc,"""restoring the right of vulnerable, law-abiding women to carry a handgun in texas is pro-life,"" tweeted state representative matt schaefer, the lead author of the new law",pro-life,JJ,,,
5369,gc,"right now we've got those primaries, and it truly is a hell of a lot of work to weed through eight democrats with very similar views on a whole lot of issues",weed,VB,,,
5435,gc,"""we were expecting to do well in new york and now, we'll lose four seats and the old broken-down crow, mitch mcconnell, sits back and does nothing to help the party,"" complained donald trump, managing to blame someone who has as much to do with redistricting in new york as brad pitt",expecting,VBG,,,
5499,gc,"on the plus side, in this troubled age of mega-decibel ideological shrieking, it's kinda soothing to see everybody behaving like the sneaky, pragmatic back-room pols of yore",troubled,JJ,,,
5526,gc,"""everyone's expecting that's where the bad guys are going to gravitate,"" said murray",expecting,VBG,,,
5550,gc,"""that's making it harder for the most low-income folks,"" said dr",low-income,JJ,,,
5568,gc,"if you want candidates to be responsive to ordinary voters rather than wealthy special-interest donors, there's got to be some way to wring cash out of normal, nonrich americans",wealthy,JJ,,,
5591,gc,"he died an alcoholic, a project he was already working on long before he hit the white house",alcoholic,NN,,,
5627,gc,""" people, does this sound like a mayor who would help the city look on the bright side during troubled times",troubled,JJ,,,
5642,jb,"a qualified nominee, in other words, is not necessarily a judicially experienced nominee",experienced,JJ,,,
5653,jb,political considerations abounded in the nomination battles of the late 19th century,late,JJ,,,
5676,jb,"and in the same way that he refused to act on his own infection -- until it was almost too late -- he also refused to act to stem a pandemic that, at the time of his positive test, had killed more than 200,000 americans",late,JJ,,,
5724,jb,"and the final clause of article 5 of the constitution -- ""no state, without its consent, shall be deprived of its equal suffrage in the senate"" -- is an insurmountable obstacle to ending the distortions caused by equal state representation in that chamber",deprived,VBN,,,
5758,jb,""" dahl, who was then in his late 80s, did not think that constitutional change of any kind was on the horizon",late,JJ,,,
5788,jb,"anxious to retain power in washington, republicans took every opportunity to pin the late rebellion on their democratic opponents, north and south",late,JJ,,,
5824,jb,even the most sober version of this critique makes it sound as if the democratic party is in the grip of its most left-wing officials and constituents,sober,JJ,,,
5903,jb,") among many other things, the legal aid justice center helps low-income charlottesville residents receive health care and public benefits, advocates for immigrants at work and in the courts, and fights to improve access to affordable housing in the area",low-income,JJ,,,
5992,jb,"to say that you don't want to foster an ""entitlement"" mentality among america's able-bodied adults is to make a statement about the proper order of things, as you understand them",able-bodied,JJ,,,
6090,jb,""" he is not speaking about different parties; he's speaking about the mass of the poor, working and indigent against the owners of property and wealth",indigent,NN,,,
6116,jb,"no, democrats won't get everything out of congress that they want; their majorities are too slim and their coalition is too fractious",slim,JJ,,,
6157,jb,"however much republican politicians denounce ""woke capital"" or emphasize their growing number of working-class supporters, the fact remains that the republican party's economic agenda -- of tax cuts for the wealthy and impunity for employers -- is organized for the benefit of capital, from wealthy shareholders and wall street asset managers to the billionaire owners of glorified family firms",wealthy,NN,,,
6172,jb,"however much republican politicians denounce ""woke capital"" or emphasize their growing number of working-class supporters, the fact remains that the republican party's economic agenda -- of tax cuts for the wealthy and impunity for employers -- is organized for the benefit of capital, from wealthy shareholders and wall street asset managers to the billionaire owners of glorified family firms",wealthy,JJ,,,
6192,jb,audiences hated it and critics dismissed it,dismissed,VBD,,,
6199,jb,"for as much as critics dismissed the film as expensive trash, there is an idea here: that fear and paranoia can dissolve the bonds of friendship, camaraderie and citizenship",dismissed,VBD,,,
6244,jb,"every incentive driving the republican party, from fox news to the former president, points away from sober engagement with the realities of american politics and toward the outrageous, the antisocial and the authoritarian",sober,JJ,,,
6286,jb,"not the legal discipline that deals with the distance between formal and actual equality but the idea, spread by right-wing activists and their wealthy supporters, that public schools are teaching a racist ideology of guilt and anti-white sentiment",wealthy,JJ,,,
6331,je,"yet, according to a survey published in 2008 of 1,013 adults aged 20 and older, 35 percent of women and 20 percent of men said they were troubled by facial acne in their 30s",troubled,VBN,,,
6341,je,"the women often experienced problems with depression, anxiety and social isolation",experienced,VBD,,,
6384,je,"if a-fib is confirmed, your doctor may try to shock the heart back into a normal rhythm using a procedure called electrical cardioversion, in which an electrical current is applied to the chest using paddles",chest,NN,,,
6388,je,"being overweight and, for many, excessive consumption of salt lead the list, followed by inconsistent use of medically prescribed remedies and a failure to adopt lifestyle measures that can reduce elevated blood pressure",overweight,JJ,,,
6444,je,even a modest weight loss of 10 pounds can both reduce the risk of developing hypertension and lower blood pressure in overweight people who already have this condition,overweight,JJ,,,
6481,je,"that would be distressing, to be sure, but neither you nor your doctor would likely be surprised by the severity of your injury given the nature of the accident",accident,NN,,,
6516,je,"yet, there is now mounting evidence that for women past menopause and men in their medicare years, a broken bone from any kind of trauma -- whether it's severe (car accident) or not (fall on the sidewalk) -- fragile bones are likely the culprit",accident,NN,,,
6537,je,"no matter how the accident occurred, current evidence indicates, when an older person breaks a bone, further evaluation of that person's overall bone health and advice on how to maintain it should follow as an integral part of treatment",accident,NN,,,
6585,je,"among the women whose first fracture followed a traumatic accident, like falling off a ladder, the risk of a second fracture was 25 percent greater than would have been expected based on women who had no initial fracture",accident,NN,,,
6645,je,""" men also face an often ignored risk of second fractures, especially because their first fractures are more likely to result from a traumatic event like a car accident and are not recognized as a harbinger of future fractures, dr",accident,NN,,,
6675,je,a growing cadre of physicians are combating what they call an over-diagnosis of this condition in the elderly,elderly,JJ,,,
6699,je,"this, in fact, is exactly what happened to a friend's mother who was told she had kidney disease in her late 70s",late,JJ,,,
6729,je,"the findings suggest that the diagnostic guidelines for chronic kidney disease needs yet another refinement that would significantly ""reduce the burden of kidney disease"" in the elderly, dr",elderly,JJ,,,
6759,je,"some groups believe strongly that everything possible should be done to avoid kidney failure down the road, no matter how unlikely it may be in an elderly person",elderly,JJ,,,
6787,je,"however, they emphasized, a medical examiner should certify all other causes, including deaths related to hip fracture which could have resulted from an accident, and deaths related to a history of malicious injury that could be a homicide",accident,NN,,,
